Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Cum_PnL,Win/Loss,is_win
NIFTY20241128.FUT.NSE,46.0,Long,TP,24174.94,47.0,24355.8,24174.94,24084.51,180.86,0.75,324.4,Win,True
NIFTY20241128.FUT.NSE,52.0,Short,TP,23899.7,53.0,23720.0,23899.7,23989.55,-179.7,-0.75,553.07,Loss,False
NIFTY20241128.FUT.NSE,54.0,Short,TP,23542.7,56.0,23365.68,23542.7,23631.2,-177.01,-0.75,328.12,Loss,False
NIFTY20241128.FUT.NSE,57.0,Long,TP,23407.07,58.0,23582.19,23407.07,23319.51,175.12,0.75,346.57,Win,True
NIFTY20241226.FUT.NSE,14.0,Long,SL,25200.14,15.0,25105.88,25200.14,25105.88,-94.26,-0.37,-155.32,Loss,False
NIFTY20241226.FUT.NSE,16.0,Short,TP,25021.89,17.0,24833.75,25021.89,25115.96,-188.13,-0.75,-594.18,Loss,False
NIFTY20241226.FUT.NSE,18.0,Short,TP,24711.62,19.0,24525.81,24711.62,24804.52,-185.8,-0.75,-479.09,Loss,False
NIFTY20241226.FUT.NSE,20.0,Long,TP,24551.02,21.0,24734.7,24551.02,24459.19,183.67,0.75,-41.94,Win,True
NIFTY20241226.FUT.NSE,26.0,Long,TP,24324.06,27.0,24506.03,24324.06,24233.07,181.98,0.75,611.84,Win,True
NIFTY20241226.FUT.NSE,32.0,Short,TP,24054.06,33.0,23873.21,24054.06,24144.49,-180.86,-0.75,173.09,Loss,False
NIFTY20241226.FUT.NSE,34.0,Short,TP,23685.84,36.0,23507.75,23685.84,23774.88,-178.09,-0.75,-356.41,Loss,False
NIFTY20241226.FUT.NSE,37.0,Long,TP,23560.7,38.0,23736.97,23560.7,23472.57,176.26,0.75,-79.33,Win,True
NIFTY20241226.FUT.NSE,55.0,Short,TP,24356.61,56.0,24173.47,24356.61,24448.17,-183.13,-0.75,310.4,Loss,False
NIFTY20241226.FUT.NSE,57.0,Short,TP,23958.75,58.0,23778.61,23958.75,24048.82,-180.14,-0.75,166.43,Loss,False
NIFTY20250130.FUT.NSE,8.0,Short,TP,24212.07,9.0,24030.02,24212.07,24303.09,-182.05,-0.75,-535.99,Loss,False
NIFTY20250130.FUT.NSE,10.0,Short,TP,23847.93,12.0,23668.62,23847.93,23937.58,-179.31,-0.75,-102.77,Loss,False
NIFTY20250130.FUT.NSE,13.0,Long,TP,23721.21,14.0,23898.67,23721.21,23632.47,177.47,0.75,124.63,Win,True
